COMMAND  PID    USER   FD   TYPE             DEVICE    SIZE/OFF    NODE NAME
java    8870 jenkins  mem    REG              252,0       55836 1183389 /data/jenkins/plugins/ssh-agent/WEB-INF/lib/ssh-agent.jar
java    8870 jenkins  mem    REG              252,0       25160 1183396 /data/jenkins/plugins/ssh-agent/WEB-INF/lib/tomcat-apr-5.5.23.jar
java    8870 jenkins  mem    REG              252,0      223267 1182299 /data/jenkins/plugins/email-ext/WEB-INF/lib/jericho-html-3.3.jar
java    8870 jenkins  mem    REG              252,0       39710  525603 /data/jenkins/plugins/rebuild/WEB-INF/lib/classes.jar
java    8870 jenkins  mem    REG              252,0       55984  266297 /data/jenkins/plugins/docker-workflow/WEB-INF/lib/docker-workflow.jar
java    8870 jenkins  mem    REG              252,0      218800  266299 /data/jenkins/plugins/docker-workflow/WEB-INF/lib/jboss-marshalling-1.4.9.Final.jar
java    8870 jenkins  mem    REG              252,0       15322  266289 /data/jenkins/plugins/docker-workflow/WEB-INF/lib/findbugs-annotations-1.3.9-1.jar
java    8870 jenkins  mem    REG              252,0       82509  266296 /data/jenkins/plugins/docker-workflow/WEB-INF/lib/jboss-marshalling-river-1.4.9.Final.jar
java    8870 jenkins  mem    REG              252,0       10408  263869 /data/jenkins/plugins/github-organization-folder/WEB-INF/lib/github-organization-folder.jar
java    8870 jenkins  mem    REG              252,0      218800 1182702 /data/jenkins/plugins/workflow-multibranch/WEB-INF/lib/jboss-marshalling-1.4.9.Final.jar
java    8870 jenkins  mem    REG              252,0       72475 1182703 /data/jenkins/plugins/workflow-multibranch/WEB-INF/lib/workflow-multibranch.jar
java    8870 jenkins  mem    REG              252,0       82509 1182700 /data/jenkins/plugins/workflow-multibranch/WEB-INF/lib/jboss-marshalling-river-1.4.9.Final.jar
java    8870 jenkins  mem    REG              252,0      265654 1182206 /data/jenkins/plugins/branch-api/WEB-INF/lib/branch-api.jar
java    8870 jenkins  mem    REG              252,0       41019  394847 /data/jenkins/plugins/build-keeper-plugin/WEB-INF/lib/classes.jar
java    8870 jenkins  mem    REG              252,0       53947 1181931 /data/jenkins/plugins/groovy/WEB-INF/lib/commons-exec-1.2.jar
java    8870 jenkins  mem    REG              252,0       47785 1181742 /data/jenkins/plugins/groovy/WEB-INF/lib/groovy.jar
java    8870 jenkins  mem    REG              252,0       73801 1181703 /data/jenkins/plugins/credentials-binding/WEB-INF/lib/credentials-binding.jar
java    8870 jenkins  mem    REG              252,0        3633 1181416 /data/jenkins/plugins/pipeline-model-declarative-agent/WEB-INF/lib/pipeline-model-declarative-agent.jar
java    8870 jenkins  mem    REG              252,0        6551  266214 /data/jenkins/plugins/pipeline-github-lib/WEB-INF/lib/pipeline-github-lib.jar
java    8870 jenkins  mem    REG              252,0       25515 1182412 /data/jenkins/plugins/workflow-cps-global-lib/WEB-INF/lib/org.abego.treelayout.core-1.0.1.jar
java    8870 jenkins  mem    REG              252,0      374032 1182409 /data/jenkins/plugins/workflow-cps-global-lib/WEB-INF/lib/antlr4-runtime-4.5.jar
java    8870 jenkins  mem    REG              252,0      218800 1182423 /data/jenkins/plugins/workflow-cps-global-lib/WEB-INF/lib/jboss-marshalling-1.4.9.Final.jar
java    8870 jenkins  mem    REG              252,0      479881 1182420 /data/jenkins/plugins/workflow-cps-global-lib/WEB-INF/lib/commons-lang3-3.5.jar
java    8870 jenkins  mem    REG              252,0       89012 1182414 /data/jenkins/plugins/workflow-cps-global-lib/WEB-INF/lib/workflow-cps-global-lib.jar
java    8870 jenkins  mem    REG              252,0       82509 1182421 /data/jenkins/plugins/workflow-cps-global-lib/WEB-INF/lib/jboss-marshalling-river-1.4.9.Final.jar
java    8870 jenkins  mem    REG              252,0     1282424 1182415 /data/jenkins/plugins/workflow-cps-global-lib/WEB-INF/lib/ivy-2.4.0.jar
java    8870 jenkins  mem    REG              252,0       34449 1181230 /data/jenkins/plugins/ws-cleanup/WEB-INF/lib/ws-cleanup.jar
java    8870 jenkins  mem    REG              252,0      218800 1181343 /data/jenkins/plugins/ws-cleanup/WEB-INF/lib/jboss-marshalling-1.4.9.Final.jar
java    8870 jenkins  mem    REG              252,0       82509 1181229 /data/jenkins/plugins/ws-cleanup/WEB-INF/lib/jboss-marshalling-river-1.4.9.Final.jar
java    8870 jenkins  mem    REG              252,0       21753  266367 /data/jenkins/plugins/resource-disposer/WEB-INF/lib/resource-disposer.jar
java    8870 jenkins  mem    REG              252,0       69315  266088 /data/jenkins/plugins/managed-scripts/WEB-INF/lib/managed-scripts.jar
java    8870 jenkins  mem    REG              252,0       26980  263593 /data/jenkins/plugins/git-server/WEB-INF/lib/git-server.jar
java    8870 jenkins  mem    REG              252,0       15322  263588 /data/jenkins/plugins/git-server/WEB-INF/lib/findbugs-annotations-1.3.9-1.jar
java    8870 jenkins  mem    REG              252,0        6811 1180811 /data/jenkins/plugins/pipeline-stage-tags-metadata/WEB-INF/lib/pipeline-stage-tags-metadata.jar
java    8870 jenkins  mem    REG              252,0       85159  262586 /data/jenkins/plugins/timestamper/WEB-INF/lib/timestamper.jar
java    8870 jenkins  mem    REG              252,0      207723  926414 /data/jenkins/plugins/build-user-vars-plugin/WEB-INF/lib/commons-lang-2.1.jar
java    8870 jenkins  mem    REG              252,0       13960  926411 /data/jenkins/plugins/build-user-vars-plugin/WEB-INF/lib/build-user-vars-plugin.jar
java    8870 jenkins  mem    REG              252,0       23479 2752795 /data/jenkins/plugins/terraform/WEB-INF/lib/classes.jar
java    8870 jenkins  mem    REG              252,0      225302 2752782 /data/jenkins/plugins/terraform/WEB-INF/lib/jackson-core-2.4.4.jar
java    8870 jenkins  mem    REG              252,0     1076926 2752788 /data/jenkins/plugins/terraform/WEB-INF/lib/jackson-databind-2.4.4.jar
java    8870 jenkins  mem    REG              202,1        8286  156964 /usr/lib/jvm/jdk1.8.0_91/jre/lib/ext/dnsns.jar
