23847 intern Strings occupying 2787752 bytes.
class_loader	classes	bytes	parent_loader	alive?	type
0x00002b445de28098	0	0	0x00002b445bee3a40	dead	org/kohsuke/stapler/jelly/groovy/GroovyClassLoaderTearOff$2@0x00002b444f8ac078
0x00002b445dcb3ae0	4	16120	0x00002b445bde8bb8	dead	hudson/remoting/RemoteClassLoader@0x00002b444f589b50
0x00002b445c95d548	1	1920	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c95ddd0	1	1920	0x00002b445be5f190	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f29ff80	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c958820	1	3064	0x00002b445ba95758	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6f95828	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f611420	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f512ce8	1	1920	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8d3be0	12	115472	0x00002b445bf1b9d8	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445bf555b8	43	343136	0x00002b445bf55640	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445c849a28	246	1889984	0x00002b445bfeb978	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445d3077f8	1	3080	0x00002b445bfcc7e8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445be4d790	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445c95d5b0	1	3080	0x00002b445bfeb978	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f2a0fa8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f67aa20	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6ff7e98	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6ff0908	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8d3b10	32	248640	0x00002b445bee9af0	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445c02d238	14	67528	0x00002b445ba956d0	dead	com/thoughtworks/xstream/core/util/CompositeClassLoader@0x00002b444c344828
0x00002b445c959178	1	3080	0x00002b445bf1e288	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8d4c88	11	128728	0x00002b445be1cc20	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b44a6fce8e0	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c9567f0	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6f90d30	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f612f00	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445be1cca8	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445f2af1a8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a7062f70	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
