,,,
,,,
pam-auth,1.2,TRUE,TRUE
Parameterized-Remote-Trigger,2.2.2,TRUE,FALSE
perforce,1.3.35,TRUE,FALSE
plain-credentials,1.1,TRUE,FALSE
postbuild-task,1.8,TRUE,FALSE
role-strategy,2.2.0,TRUE,FALSE
s3,0.7,FALSE,FALSE
scm-api,0.2,TRUE,FALSE
script-security,1.15,TRUE,TRUE
ssh-agent,1.8,TRUE,FALSE
ssh-credentials,1.11,TRUE,TRUE
ssh-slaves,1.1,TRUE,TRUE
subversion,2.5.3,TRUE,TRUE
test-results-analyzer,0.2.1,TRUE,FALSE
timestamper,1.7.2,TRUE,FALSE
token-macro,1.1,TRUE,FALSE
translation,1.12,TRUE,TRUE
windows-slaves,1.1,TRUE,TRUE
workflow-step-api,1.1,TRUE,FALSE
xunit,,,
