
 num     #instances         #bytes  class name
 120:           974          62336  sun.text.normalizer.NormalizerBase
 121:          3896          62336  java.lang.Object
 122:           974          62336  java.text.CollationElementIterator
 123:          1961          61152  [Ljava.lang.reflect.Type;
 124:          1087          60872  com.sonyericsson.rebuild.RebuildAction
 125:          1263          60624  com.google.inject.spi.InjectionPoint
 126:           895          57280  com.google.inject.internal.MembersInjectorImpl
 127:           525          54600  java.security.Provider$Service
 128:          1361          54440  com.google.inject.spi.Dependency
 129:           834          53376  java.util.TreeMap$NavigableSubMap$SubMapEntryIterator
 130:          1087          52176  org.jvnet.hudson.plugins.DownstreamBuildViewAction
 131:           205          50840  org.codehaus.groovy.ast.ClassNode
 132:          1574          50368  java.util.concurrent.CopyOnWriteArrayList
 133:          1005          48240  org.kohsuke.stapler.MetaClass$4
 134:           287          48232  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 135:          1136          47944  [Ljava.io.ObjectStreamField;
 136:           823          46088  java.lang.ThreadLocal$ThreadLocalMap$Entry
 137:           194          45008  hudson.model.FreeStyleProject
 138:           795          44520  java.util.TreeMap$ValueIterator
 139:          1112          44480  java.security.Provider$ServiceKey
 140:           787          44072  org.codehaus.groovy.util.ListHashMap
 141:          1375          44000  org.kohsuke.stapler.Function$InstanceFunction
 142:          1099          43960  com.google.inject.Scopes$1$1
 143:          1372          43904  java.io.ObjectStreamClass$ClassDataSlot
 144:          1800          43200  sun.reflect.generics.tree.ClassTypeSignature
 145:          1072          42880  java.lang.ref.ReferenceQueue
 146:           381          42672  java.util.logging.Logger
 147:           351          42120  org.codehaus.groovy.reflection.ClassInfo
 148:          1314          42048  com.google.inject.internal.ProvisionListenerStackCallback
 149:           866          41568  com.google.inject.internal.ConstructorInjector
 150:           866          41568  com.google.inject.internal.ConstructorBindingImpl$Factory
 151:           517          41360  com.thoughtworks.xstream.core.util.OrderRetainingMap
 152:          1721          41304  hudson.util.CopyOnWriteList
 153:          1677          40248  java.util.concurrent.locks.ReentrantLock
 154:          1251          40032  hudson.util.DescribableList
 155:           100          39920  [Ljava.beans.MethodDescriptor;
 156:           991          39640  hudson.util.CopyOnWriteList$1
 157:           958          38320  com.google.inject.internal.InjectorImpl$3
 158:           337          37744  java.util.jar.JarFile$JarFileEntry
 159:           457          36560  com.google.inject.internal.ProviderInstanceBindingImpl
 160:           214          35952  com.google.common.collect.ComputingConcurrentHashMap$ComputingMapAdapter
 161:            96          35328  [Ljava.io.ObjectInputStream$HandleTable$HandleList;
 162:          1102          35264  hudson.model.Label$2
 163:          1099          35168  com.google.inject.internal.ProviderToInternalFactoryAdapter
 164:          1099          35168  com.google.inject.internal.InternalFactoryToProviderAdapter
 165:           488          35136  java.text.RuleBasedCollator
 166:           337          35048  org.codehaus.groovy.reflection.CachedMethod
 167:          1088          34816  hudson.model.CauseAction
 168:          1087          34784  hudson.plugins.disk_usage.BuildDiskUsageAction
 169:          1087          34784  hudson.plugins.disk_usage.DiskUsage
 170:           866          34640  com.google.inject.internal.cglib.reflect.$FastConstructor
 171:           866          34640  com.google.inject.internal.DefaultConstructionProxyFactory$1
 172:           607          33992  sun.reflect.generics.repository.ClassRepository
 173:           221          33592  hudson.plugins.plot.Plot
 174:           834          33360  java.util.TreeMap$AscendingSubMap$AscendingEntrySetView
 175:          1388          33312  java.util.jar.Attributes
 176:           378          33264  hudson.model.RunMap
 177:           828          33120  com.google.common.collect.RegularImmutableMap$NonTerminalEntry
 178:           585          32760  java.util.HashMap$ValueIterator
 179:          1364          32736  $Proxy7
 180:          1360          32640  java.util.TreeSet
 181:           389          31120  java.util.jar.JarFile
 182:          1279          30696  java.util.TreeMap$KeySet
 183:           948          30336  com.thoughtworks.xstream.core.util.PrioritizedList$PrioritizedItem
 184:           724          28960  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 185:           733          28568  [Ljava.io.ObjectStreamClass$ClassDataSlot;
 186:           351          28080  org.codehaus.groovy.reflection.ClassInfo$LazyCachedClassRef
 187:           351          28080  org.codehaus.groovy.reflection.ClassInfo$LazyClassLoaderRef
 188:           852          27264  java.io.File
 189:           675          27000  jenkins.model.lazy.AbstractLazyLoadRunMap$Index
 190:           669          26760  java.net.Socket
 191:           814          26048  org.codehaus.groovy.util.ManagedReference
 192:           400          25600  com.google.inject.internal.Initializer$InjectableReference
 193:           643          25272  [Ljava.security.cert.Certificate;
 194:           787          25184  com.thoughtworks.xstream.core.util.FastField
 195:           348          25056  sun.misc.URLClassPath$JarLoader
 196:           780          24960  hudson.remoting.RemoteInvocationHandler
 197:          1035          24840  java.io.FileDescriptor
 198:           607          24280  sun.reflect.generics.tree.ClassSignature
 199:           601          24040  java.util.logging.LogManager$LogNode
 200:           737          23584  java.io.FileInputStream
 201:           417          23352  java.util.HashMap$EntryIterator
 202:           958          22992  java.util.concurrent.atomic.AtomicInteger
 203:           714          22848  net.java.sezpoz.IndexItem$AnnotationProxy
 204:           714          22848  hudson.ExtensionFinder$GuiceFinder$4$1
 205:           711          22752  com.google.common.collect.SingletonImmutableList
 206:           560          22400  org.sonatype.guice.bean.reflect.NamedClass
 207:           151          21744  org.codehaus.groovy.ast.MethodNode
 208:           448          21504  java.util.zip.Inflater
 209:           384          21504  hudson.remoting.Command$Source
 210:           448          21504  com.google.inject.internal.InternalFactoryToInitializableAdapter
 211:           379          21224  java.util.Collections$UnmodifiableSortedMap
 212:            52          21216  hudson.maven.MavenModuleSet
 213:           378          21168  com.sonyericsson.rebuild.RebuildLastCompletedBuildAction
 214:           620          21024  [Lorg.codehaus.groovy.reflection.CachedClass;
 215:           652          20864  sun.reflect.generics.factory.CoreReflectionFactory
 216:           866          20784  com.google.inject.internal.DefaultConstructionProxyFactory
 217:           517          20680  com.thoughtworks.xstream.core.util.OrderRetainingMap$ArraySet
 218:           856          20544  java.util.concurrent.atomic.AtomicReferenceArray
 219:           637          20384  sun.reflect.generics.scope.ClassScope
 220:           503          20120  java.util.LinkedList$Entry
 221:            93          20088  java.text.DecimalFormat
 222:           626          20032  hudson.ExtensionComponent
 223:            65          19736  [Lorg.codehaus.groovy.util.ComplexKeyHashMap$Entry;
 224:           351          19656  org.kohsuke.stapler.MetaClass$3
 225:           351          19656  org.codehaus.groovy.util.LockableObject
 226:           800          19200  java.util.TreeMap$EntrySet
 227:           595          19032  [Lcom.google.inject.spi.ProvisionListener;
 228:           395          18960  sun.misc.FloatingDecimal
 229:           390          18720  antlr.ANTLRHashString
 230:           449          17960  hudson.PluginWrapper$Dependency
 231:           607          17496  [Lsun.reflect.generics.tree.ClassTypeSignature;
 232:           546          17472  java.util.Date
 233:          1090          17440  hudson.triggers.TimerTrigger$TimerTriggerCause
 234:           430          17200  com.google.common.collect.SingletonImmutableSet
 235:          1074          17184  java.lang.ref.ReferenceQueue$Lock
 236:           714          17136  com.google.inject.internal.Scoping$6
 237:            50          16800  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl
 238:           294          16464  com.sun.org.apache.xerces.internal.impl.xpath.regex.RangeToken
 239:           623          16160  [Lsun.reflect.generics.tree.FormalTypeParameter;
 240:           224          16128  org.sonatype.guice.bean.reflect.MildValues$Soft
 241:           288          16128  java.security.ProtectionDomain
 242:           402          16080  org.sonatype.guice.plexus.binders.PlexusRequirements$RequirementProvider
 243:           287          16072  java.security.CodeSource
 244:           284          15904  java.nio.HeapByteBuffer
 245:           487          15584  jenkins.model.Jenkins$9
 246:           388          15520  jenkins.model.lazy.SortedIntList
 247:           100          15472  [Ljava.beans.PropertyDescriptor;
 248:           382          15280  com.google.inject.internal.MoreTypes$ParameterizedTypeImpl
 249:           316          15168  java.lang.management.MemoryUsage
 250:            52          14976  hudson.maven.MavenModule
 251:           266          14896  java.nio.HeapCharBuffer
 252:           372          14880  hudson.plugins.plot.PropertiesSeries
 253:           307          14736  java.util.Locale
 254:           199          14328  sun.java2d.loops.Blit
 255:           295          14160  org.codehaus.groovy.util.SingleKeyHashMap$Entry
 256:           438          14016  org.sonatype.guice.plexus.binders.ProvidedPropertyBinding
 257:           193          13896  java.util.WeakHashMap
 258:           416          13184  [Lsun.reflect.generics.tree.FieldTypeSignature;
 259:           549          13176  sun.reflect.BootstrapConstructorAccessorImpl
 260:           328          13120  sun.reflect.NativeMethodAccessorImpl
 261:           326          13040  hudson.model.DependencyGraph$DependencyGroup
 262:           121          12584  org.codehaus.groovy.ast.Parameter
 263:           388          12416  jenkins.model.lazy.SortedList
 264:           309          12360  sun.reflect.NativeConstructorAccessorImpl
 265:           193          12352  org.apache.commons.collections.map.AbstractLinkedMap$LinkEntry
 266:           256          12288  java.util.AbstractList$ListItr
 267:           381          12192  hudson.model.TimeSeries
 268:           378          12096  org.jvnet.hudson.plugins.shelveproject.ShelveProjectAction
 269:           378          12096  hudson.plugins.depgraph_view.DependencyGraphProjectActionFactory$DependencyGraphProjectAction
 270:           214          11984  [Lcom.google.common.collect.MapMakerInternalMap$Segment;
 271:           187          11968  com.google.common.collect.MapMakerInternalMap$SoftValueReference
 272:            71          11928  java.lang.Thread
 273:            99          11880  org.codehaus.groovy.reflection.CachedClass
 274:           163          11736  sun.java2d.loops.ScaledBlit
 275:            84          11424  hudson.ClassicPluginStrategy$DependencyClassLoader
 276:           472          11328  hudson.security.NotSerilizableSecurityContext
 277:           353          11296  org.bouncycastle.asn1.ASN1ObjectIdentifier
