
 num     #instances         #bytes  class name
 110:          3274         209536  java.util.concurrent.ConcurrentHashMap
 111:         10359         207320  [Lsun.reflect.generics.tree.TypeArgument;
 112:          4254         204192  org.jenkinsci.plugins.workflow.cps.nodes.StepEndNode
 113:          8242         197808  io.jenkins.blueocean.service.embedded.BlueOceanUrlObjectImpl
 114:          5857         187424  java.util.Collections$SynchronizedMap
 115:         11693         187088  java.util.concurrent.atomic.AtomicReferenceArray
 116:          4658         186320  net.java.sezpoz.IndexItem
 117:         11552         184832  com.cloudbees.groovy.cps.impl.BlockScopedBlock
 118:          5759         184288  java.util.concurrent.FutureTask
 119:          7509         180216  org.jenkinsci.plugins.pipeline.modeldefinition.ast.ModelASTKey
 120:          5544         177408  org.apache.commons.jexl.parser.ASTReference
 121:          3099         173544  java.lang.invoke.MemberName
 122:          1776         170496  hudson.model.UpdateSite$Plugin
 123:         10651         170416  java.lang.Integer
 124:          6860         164640  sun.reflect.annotation.AnnotationInvocationHandler
 125:          2204         158688  com.cloudbees.workflow.rest.external.StageNodeExt
 126:          4893         156576  com.thoughtworks.xstream.converters.reflection.FieldKey
 127:          4862         155584  org.codehaus.groovy.util.ReferenceType$WeakRef
 128:          6473         155352  org.jenkinsci.plugins.pipeline.modeldefinition.ast.ModelASTValue$ConstantValue
 129:          9489         151824  sun.reflect.generics.tree.ClassTypeSignature
 130:          4658         149056  net.java.sezpoz.impl.SerAnnotatedElement
 131:          6201         148824  java.util.Collections$SingletonList
 132:          3664         146560  sun.reflect.generics.repository.MethodRepository
 133:          5917         142008  java.util.concurrent.Executors$RunnableAdapter
 134:          5768         138432  java.util.concurrent.LinkedBlockingQueue$Node
 135:          5678         136272  hudson.remoting.PipeWriter$1
 136:          6945         134312  [Ljava.lang.reflect.Type;
 137:          4191         134112  org.apache.commons.jexl.ExpressionImpl
 138:          4191         134112  org.apache.commons.jexl.parser.ASTJexlScript
 139:          5505         132120  org.xml.sax.helpers.AttributesImpl
 140:          8241         131856  io.jenkins.blueocean.service.embedded.BlueOceanUrlAction
 141:          8223         131568  com.cloudbees.workflow.rest.endpoints.FlowNodeAPI
 142:             4         131136  [Ljava.util.concurrent.ForkJoinTask;
 143:          4096         131072  org.eclipse.jetty.servlet.ServletHandler$CachedChain
 144:          5338         128112  org.codehaus.groovy.util.ManagedReference
 145:          1778         128016  org.jenkinsci.plugins.pipeline.modeldefinition.ast.ModelASTStage
 146:          1590         127200  org.kohsuke.stapler.jelly.ReallyStaticTagLibrary$1
 147:          6511         126896  [Lsun.reflect.generics.tree.FieldTypeSignature;
 148:          3904         124928  groovy.lang.MetaBeanProperty
 149:          2182         122192  sun.nio.cs.UTF_8$Encoder
 150:          5091         122184  sun.reflect.generics.factory.CoreReflectionFactory
 151:          3054         122160  com.sun.jndi.ldap.LdapAttribute
 152:          1681         121032  org.apache.commons.jelly.impl.TagScript
 153:          2105         117880  org.codehaus.groovy.reflection.ClassInfo
 154:          3675         117600  sun.reflect.generics.tree.MethodTypeSignature
 155:          2926         117040  java.lang.ref.Finalizer
 156:          4860         116640  org.h2.value.ValueLong
 157:          1962         109872  java.lang.Package
 158:          3418         109376  com.cloudbees.groovy.cps.impl.BlockScopeEnv
 159:          2278         109344  com.google.inject.internal.ConstructorBindingImpl
 160:          3320         106240  org.h2.mvstore.Page$PageReference
 161:          3318         106176  org.apache.commons.jexl.parser.ASTReferenceExpression
 162:          1926         105240  [Ljava.beans.PropertyDescriptor;
 163:          4176         104856  [Lorg.codehaus.groovy.reflection.CachedClass;
 164:          3211         102752  org.kohsuke.stapler.Function$OverridingInstanceFunction
 165:          4250         102000  java.lang.Class$AnnotationData
 166:          6368         101888  com.cloudbees.groovy.cps.impl.ListBlock
 167:          3164         101248  hudson.remoting.ProxyOutputStream$Chunk
 168:          2105         101040  org.codehaus.groovy.reflection.ClassInfo$LazyCachedClassRef
 169:          2105         101040  org.codehaus.groovy.reflection.ClassInfo$LazyClassLoaderRef
 170:          1127          99176  org.codehaus.groovy.ast.MethodNode
 171:            32          98816  [Lorg.h2.mvstore.cache.CacheLongKeyLIRS$Entry;
 172:          3000          96000  java.lang.ThreadLocal$ThreadLocalMap$Entry
 173:          1333          95976  org.codehaus.groovy.ast.Parameter
 174:          1998          95904  org.apache.commons.beanutils.converters.ArrayConverter
 175:          1987          95376  java.util.logging.LogManager$LoggerWeakRef
 176:          1302          93744  java.util.regex.Pattern
 177:          2921          93472  [Lcom.google.common.cache.LocalCache$Segment;
 178:          3887          93288  org.apache.commons.beanutils.DynaProperty
 179:          2332          93280  com.google.inject.internal.SingletonScope$1
 180:          2283          91320  com.google.inject.internal.MembersInjectorImpl
 181:          2850          91200  com.cloudbees.groovy.cps.impl.AssignmentBlock
 182:          5678          90848  hudson.remoting.PipeWriter$FutureHolder
 183:          5513          88208  java.util.jar.Attributes
 184:          3664          87936  sun.reflect.generics.scope.MethodScope
 185:          1558          87248  org.h2.mvstore.Page$NonLeaf
 186:          2103          84120  org.codehaus.groovy.reflection.GroovyClassValuePreJava7$EntryWithValue
 187:          5249          83984  org.jenkinsci.plugins.workflow.actions.BodyInvocationAction
 188:           223          83848  java.lang.Thread
 189:          5066          83472  [Lsun.reflect.generics.tree.FormalTypeParameter;
 190:          2606          83392  com.cloudbees.groovy.cps.impl.ClosureBlock
 191:          1296          82944  java.util.jar.JarFile
 192:          2528          80896  org.apache.commons.jexl.parser.ASTExpression
 193:          2504          80128  com.google.inject.Key
 194:           557          80088  [Ljava.lang.ClassValue$Entry;
 195:          1944          77760  java.lang.invoke.BoundMethodHandle$Species_LL
 196:          1937          77480  java.lang.invoke.MethodType
 197:          3211          77064  org.codehaus.groovy.reflection.CachedField
 198:          2388          76416  com.google.inject.spi.InjectionPoint
 199:          3164          75936  hudson.remoting.ProxyOutputStream$Chunk$1
 200:          2357          75424  java.io.File
 201:          1343          75208  org.jenkinsci.plugins.workflow.cps.CpsClosure2
 202:          2332          74624  com.google.inject.internal.CycleDetectingLock$CycleDetectingLockFactory$ReentrantCycleDetectingLock
 203:          4657          74512  sun.reflect.DelegatingMethodAccessorImpl
 204:          2324          74368  com.google.inject.spi.ElementSource
 205:          3082          73968  java.util.concurrent.ConcurrentLinkedQueue$Node
 206:          1313          73528  com.thoughtworks.xstream.core.util.OrderRetainingMap
 207:          1531          73488  org.h2.mvstore.Page$Leaf
 208:          4562          72992  org.h2.value.ValueInt
 209:          2278          72896  com.google.inject.internal.ConstructorBindingImpl$Factory
 210:          2278          72896  com.google.inject.internal.ConstructorInjector
 211:          3034          72816  sun.reflect.NativeMethodAccessorImpl
 212:           990          71280  java.util.logging.Logger
 213:          2201          70432  com.google.inject.spi.Dependency
 214:          4346          69536  org.apache.commons.jelly.expression.ConstantExpression
 215:          1717          68680  org.codehaus.groovy.ast.VariableScope
 216:          2859          68616  org.kohsuke.stapler.Facet$1
 217:          2853          68472  org.codehaus.groovy.util.SingleKeyHashMap
 218:          1707          68280  org.kohsuke.stapler.MetaClass$1
 219:          2105          67360  org.codehaus.groovy.util.LockableObject
 220:          4191          67056  hudson.ExpressionFactory2$JexlExpression
 221:          2742          65808  java.lang.Double
 222:          1173          65688  org.codehaus.groovy.reflection.GeneratedMetaMethod$Proxy
 223:          2046          65472  java.lang.invoke.DirectMethodHandle
 224:          2190          65160  [Ljava.security.cert.Certificate;
 225:            10          65136  [Ljava.util.concurrent.RunnableScheduledFuture;
 226:          2688          64512  java.util.regex.Pattern$Single
 227:          3991          63856  org.apache.commons.beanutils.converters.ConverterFacade
 228:          2654          63696  java.lang.Long
 229:          2647          63528  java.util.regex.Pattern$BitClass
 230:          1570          62800  org.kohsuke.stapler.MetaClass$4
 231:          1937          61984  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
